id;name;latitude;longitude;state;creation_date
1;International connect Home Loan Account;67667;9648;true;2020-11-01T18:06:40
2;connect Refined Soft Chair azure;36518;94774;true;2020-11-01T16:07:27
3;Cotton;35624;54764;true;2020-11-01T11:25:32
4;Metal Georgia;54354;74707;false;2020-11-01T11:16:57
5;compressing cyan withdrawal;20686;72363;true;2020-11-01T15:26:55
6;incentivize copy;44610;41558;true;2020-11-01T22:51:53
7;Money Market Account navigating;82488;53896;true;2020-11-01T21:57:04
8;Minnesota National;69390;44057;false;2020-11-01T03:41:32
9;port Fresh;9096;43575;false;2020-11-01T23:57:51
10;Pants;82192;3923;true;2020-11-01T01:18:58
