id;final_date;cadastral_plan;registry_study;property_id
1;2020-11-01T00:33:23;Investor auxiliary;AGP override generate;71554
2;2020-11-02T00:23:11;card payment;artificial intelligence;33748
3;2020-11-01T16:15:26;Dynamic feed;Borders archive multi-state;56947
4;2020-11-01T12:23:16;Borders;Pants Brunei Darussalam;7560
5;2020-11-01T20:39:09;EXE microchip Infrastructure;Organized;73570
6;2020-11-01T02:33:24;Profound;Global;95964
7;2020-11-01T02:29:14;gold knowledge base Camp;Solomon Islands Kansas Designer;23680
8;2020-11-01T18:26:59;Soap;alarm alliance Developer;89173
9;2020-11-01T01:26:36;Manager;end-to-end executive Courts;31704
10;2020-11-01T06:05:01;calculating Awesome Steel Table;navigating;46416
